date, total distance
09.08.2021 09:39:11.663,636.60
09.08.2021 09:39:11.933,636.60
09.08.2021 09:39:12.601,636.60
09.08.2021 09:39:13.623,636.60
09.08.2021 09:39:14.597,636.60
09.08.2021 09:39:15.598,636.60
09.08.2021 09:39:16.819,636.60
09.08.2021 09:39:17.601,636.60
09.08.2021 09:39:18.596,636.60
09.08.2021 09:39:19.620,636.60
09.08.2021 09:39:20.614,636.60
09.08.2021 09:39:21.590,636.60
09.08.2021 09:39:22.619,636.60
09.08.2021 09:39:23.610,636.60
09.08.2021 09:39:24.597,636.60
09.08.2021 09:39:25.614,636.60
09.08.2021 09:39:26.609,636.60
09.08.2021 09:39:27.602,636.60
09.08.2021 09:39:28.623,636.60
09.08.2021 09:39:30.289,636.60
09.08.2021 09:39:30.603,636.60
09.08.2021 09:39:30.829,636.60
09.08.2021 09:39:31.616,636.60
09.08.2021 09:39:32.636,636.60
09.08.2021 09:39:33.693,636.60
09.08.2021 09:39:33.927,636.60
09.08.2021 09:39:34.711,636.60
09.08.2021 09:39:35.640,636.61
09.08.2021 09:39:35.869,636.61
09.08.2021 09:39:36.633,636.61
09.08.2021 09:39:36.859,636.61
09.08.2021 09:39:37.623,636.61
09.08.2021 09:39:37.848,636.61
09.08.2021 09:39:38.673,636.61
09.08.2021 09:39:38.900,636.61
09.08.2021 09:39:39.619,636.61
09.08.2021 09:39:40.672,636.61
09.08.2021 09:39:41.667,636.62
09.08.2021 09:39:42.662,636.62
09.08.2021 09:39:43.622,636.62
09.08.2021 09:39:43.848,636.62
09.08.2021 09:39:44.671,636.62
09.08.2021 09:39:45.633,636.62
09.08.2021 09:39:45.859,636.62
09.08.2021 09:39:46.620,636.62
09.08.2021 09:39:47.673,636.62
09.08.2021 09:39:48.633,636.62
09.08.2021 09:39:49.623,636.62
09.08.2021 09:39:50.673,636.62
09.08.2021 09:39:51.633,636.62
09.08.2021 09:39:52.623,636.62
09.08.2021 09:39:53.670,636.62
09.08.2021 09:39:53.898,636.62
09.08.2021 09:39:54.632,636.62
09.08.2021 09:39:54.861,636.62
09.08.2021 09:39:55.653,636.62
09.08.2021 09:39:55.881,636.62
09.08.2021 09:39:56.703,636.62
09.08.2021 09:39:56.934,636.62
09.08.2021 09:39:57.693,636.62
09.08.2021 09:39:57.918,636.62
09.08.2021 09:39:58.617,636.62
09.08.2021 09:39:59.703,636.62
09.08.2021 09:39:59.913,636.62
09.08.2021 09:40:00.632,636.62
09.08.2021 09:40:00.857,636.62
09.08.2021 09:40:01.623,636.62
09.08.2021 09:40:01.847,636.62
09.08.2021 09:40:02.703,636.62
09.08.2021 09:40:02.929,636.62
09.08.2021 09:40:03.663,636.62
09.08.2021 09:40:04.653,636.62
09.08.2021 09:40:04.876,636.62
09.08.2021 09:40:05.702,636.62
09.08.2021 09:40:05.928,636.62
09.08.2021 09:40:06.632,636.62
09.08.2021 09:40:07.653,636.62
09.08.2021 09:40:08.642,636.62
09.08.2021 09:40:09.633,636.62
09.08.2021 09:40:10.653,636.62
09.08.2021 09:40:11.643,636.62
09.08.2021 09:40:11.874,636.62
09.08.2021 09:40:12.663,636.62
09.08.2021 09:40:12.887,636.62
09.08.2021 09:40:13.649,636.62
09.08.2021 09:40:14.640,636.62
09.08.2021 09:40:15.663,636.62
09.08.2021 09:40:16.653,636.62
09.08.2021 09:40:16.878,636.62
09.08.2021 09:40:17.673,636.62
09.08.2021 09:40:18.660,636.62
09.08.2021 09:40:18.888,636.62
09.08.2021 09:40:19.653,636.62
09.08.2021 09:40:19.878,636.62
09.08.2021 09:40:20.731,636.62
09.08.2021 09:40:20.994,636.62
09.08.2021 09:40:21.676,636.62
09.08.2021 09:40:22.612,636.62
09.08.2021 09:40:23.599,636.62
09.08.2021 09:40:24.600,636.62
09.08.2021 09:40:25.706,636.62
09.08.2021 09:40:26.612,636.62
09.08.2021 09:40:27.602,636.62
09.08.2021 09:40:28.620,636.62
09.08.2021 09:40:29.607,636.62
09.08.2021 09:40:30.600,636.62
09.08.2021 09:40:31.619,636.62
09.08.2021 09:40:32.610,636.62
09.08.2021 09:40:33.603,636.62
09.08.2021 09:40:34.623,636.62
09.08.2021 09:40:35.613,636.62
09.08.2021 09:40:36.600,636.62
09.08.2021 09:40:37.620,636.62
09.08.2021 09:40:38.610,636.62
09.08.2021 09:40:39.603,636.62
09.08.2021 09:40:40.623,636.62
09.08.2021 09:40:41.612,636.62
09.08.2021 09:40:42.599,636.62
09.08.2021 09:40:43.619,636.62
09.08.2021 09:40:44.607,636.62
09.08.2021 09:40:45.598,636.62
09.08.2021 09:40:46.588,636.62
09.08.2021 09:40:47.613,636.62
09.08.2021 09:40:48.604,636.62
09.08.2021 09:40:49.622,636.62
09.08.2021 09:40:50.613,636.62
09.08.2021 09:40:51.602,636.62
09.08.2021 09:40:52.620,636.63
09.08.2021 09:40:53.613,636.63
09.08.2021 09:40:54.602,636.63
09.08.2021 09:40:55.621,636.63
09.08.2021 09:40:56.612,636.63
09.08.2021 09:40:57.600,636.63
09.08.2021 09:40:58.694,636.64
09.08.2021 09:40:59.685,636.64
09.08.2021 09:41:00.676,636.64
09.08.2021 09:41:01.663,636.64
09.08.2021 09:41:02.683,636.64
09.08.2021 09:41:03.676,636.64
09.08.2021 09:41:04.696,636.64
09.08.2021 09:41:05.688,636.64
09.08.2021 09:41:05.897,636.65
09.08.2021 09:41:06.677,636.65
09.08.2021 09:41:07.696,636.65
09.08.2021 09:41:08.687,636.65
09.08.2021 09:41:09.678,636.65
09.08.2021 09:41:10.694,636.65
09.08.2021 09:41:11.686,636.65
09.08.2021 09:41:12.675,636.65
09.08.2021 09:41:13.697,636.65
09.08.2021 09:41:14.685,636.65
09.08.2021 09:41:15.677,636.65
09.08.2021 09:41:16.697,636.65
09.08.2021 09:41:17.681,636.65
09.08.2021 09:41:18.675,636.65
09.08.2021 09:41:20.112,636.65
09.08.2021 09:41:20.684,636.65
09.08.2021 09:41:21.674,636.65
09.08.2021 09:41:22.698,636.65
09.08.2021 09:41:23.683,636.65
09.08.2021 09:41:24.673,636.65
09.08.2021 09:41:25.696,636.65
09.08.2021 09:41:26.689,636.65
09.08.2021 09:41:27.675,636.65
09.08.2021 09:41:28.690,636.65
09.08.2021 09:41:29.685,636.65
09.08.2021 09:41:30.677,636.65
09.08.2021 09:41:32.322,636.65
09.08.2021 09:41:32.684,636.65
09.08.2021 09:41:33.677,636.65
09.08.2021 09:41:34.697,636.65
09.08.2021 09:41:35.685,636.65
09.08.2021 09:41:36.677,636.65
09.08.2021 09:41:37.699,636.65
09.08.2021 09:41:38.689,636.65
09.08.2021 09:41:39.676,636.65
09.08.2021 09:41:40.701,636.65
09.08.2021 09:41:41.680,636.65
09.08.2021 09:41:42.670,636.65
09.08.2021 09:41:43.692,636.65
09.08.2021 09:41:44.681,636.65
09.08.2021 09:41:45.674,636.65
09.08.2021 09:41:46.691,636.65
09.08.2021 09:41:47.679,636.65
09.08.2021 09:41:48.669,636.65
09.08.2021 09:41:49.662,636.65
09.08.2021 09:41:50.681,636.66
09.08.2021 09:41:51.673,636.66
09.08.2021 09:41:52.692,636.66
09.08.2021 09:41:53.681,636.66
09.08.2021 09:41:54.672,636.66
09.08.2021 09:41:55.659,636.67
09.08.2021 09:41:56.682,636.67
09.08.2021 09:41:57.668,636.67
09.08.2021 09:41:58.661,636.67
09.08.2021 09:41:59.686,636.67
09.08.2021 09:42:00.672,636.67
09.08.2021 09:42:01.661,636.67
09.08.2021 09:42:02.683,636.68
09.08.2021 09:42:03.673,636.68
09.08.2021 09:42:04.662,636.68
09.08.2021 09:42:05.684,636.68
09.08.2021 09:42:06.673,636.68
09.08.2021 09:42:07.662,636.69
09.08.2021 09:42:08.682,636.69
09.08.2021 09:42:09.672,636.70
09.08.2021 09:42:10.664,636.70
09.08.2021 09:42:11.682,636.71
09.08.2021 09:42:12.674,636.71
09.08.2021 09:42:13.691,636.72
09.08.2021 09:42:14.682,636.72
09.08.2021 09:42:15.673,636.73
09.08.2021 09:42:16.659,636.73
09.08.2021 09:42:17.679,636.74
09.08.2021 09:42:18.670,636.74
09.08.2021 09:42:19.658,636.74
09.08.2021 09:42:20.682,636.75
09.08.2021 09:42:21.673,636.75
09.08.2021 09:42:22.692,636.75
09.08.2021 09:42:23.679,636.76
09.08.2021 09:42:24.672,636.76
09.08.2021 09:42:25.662,636.77
09.08.2021 09:42:26.683,636.77
09.08.2021 09:42:27.673,636.77
09.08.2021 09:42:28.662,636.78
09.08.2021 09:42:29.681,636.78
09.08.2021 09:42:30.672,636.78
09.08.2021 09:42:31.662,636.78
09.08.2021 09:42:32.681,636.79
09.08.2021 09:42:33.672,636.79
09.08.2021 09:42:34.664,636.79
09.08.2021 09:42:35.682,636.80
09.08.2021 09:42:36.677,636.80
09.08.2021 09:42:37.663,636.81
09.08.2021 09:42:38.683,636.81
09.08.2021 09:42:39.672,636.82
09.08.2021 09:42:40.663,636.82
09.08.2021 09:42:41.682,636.83
09.08.2021 09:42:42.672,636.83
09.08.2021 09:42:43.658,636.83
09.08.2021 09:42:44.678,636.84
09.08.2021 09:42:45.669,636.84
09.08.2021 09:42:46.659,636.84
09.08.2021 09:42:47.679,636.84
09.08.2021 09:42:48.673,636.84
09.08.2021 09:42:49.657,636.84
09.08.2021 09:42:50.681,636.84
09.08.2021 09:42:51.670,636.85
09.08.2021 09:42:52.660,636.85
09.08.2021 09:42:53.678,636.85
09.08.2021 09:42:54.669,636.85
09.08.2021 09:42:55.688,636.86
09.08.2021 09:42:56.680,636.86
09.08.2021 09:42:57.673,636.87
09.08.2021 09:42:58.663,636.87
09.08.2021 09:42:59.681,636.88
09.08.2021 09:43:00.670,636.88
09.08.2021 09:43:01.660,636.88
09.08.2021 09:43:02.680,636.89
09.08.2021 09:43:03.674,636.89
09.08.2021 09:43:04.663,636.90
09.08.2021 09:43:05.682,636.90
09.08.2021 09:43:06.672,636.91
09.08.2021 09:43:07.662,636.91
09.08.2021 09:43:08.682,636.92
09.08.2021 09:43:09.673,636.92
09.08.2021 09:43:10.662,636.93
09.08.2021 09:43:11.683,636.93
09.08.2021 09:43:12.672,636.94
09.08.2021 09:43:13.662,636.94
09.08.2021 09:43:14.683,636.95
09.08.2021 09:43:15.674,636.95
09.08.2021 09:43:16.663,636.96
09.08.2021 09:43:17.683,636.96
09.08.2021 09:43:18.673,636.97
09.08.2021 09:43:19.663,636.97
09.08.2021 09:43:20.683,636.98
09.08.2021 09:43:21.673,636.98
09.08.2021 09:43:22.693,636.99
09.08.2021 09:43:23.683,636.99
09.08.2021 09:43:24.674,637.00
09.08.2021 09:43:25.663,637.00
09.08.2021 09:43:26.684,637.01
09.08.2021 09:43:27.674,637.01
09.08.2021 09:43:28.663,637.02
09.08.2021 09:43:29.683,637.02
09.08.2021 09:43:30.673,637.03
09.08.2021 09:43:31.663,637.03
09.08.2021 09:43:32.684,637.04
09.08.2021 09:43:33.672,637.04
09.08.2021 09:43:34.664,637.04
09.08.2021 09:43:35.683,637.05
09.08.2021 09:43:35.895,637.05
09.08.2021 09:43:36.673,637.05
09.08.2021 09:43:37.664,637.06
09.08.2021 09:43:38.684,637.06
09.08.2021 09:43:39.669,637.06
09.08.2021 09:43:40.664,637.07
09.08.2021 09:43:41.683,637.07
09.08.2021 09:43:42.674,637.07
09.08.2021 09:43:43.667,637.08
09.08.2021 09:43:44.684,637.08
09.08.2021 09:43:45.672,637.08
09.08.2021 09:43:46.664,637.08
09.08.2021 09:43:47.683,637.08
09.08.2021 09:43:48.673,637.09
09.08.2021 09:43:49.666,637.09
09.08.2021 09:43:50.684,637.09
09.08.2021 09:43:51.673,637.09
09.08.2021 09:43:52.663,637.10
09.08.2021 09:43:53.684,637.10
09.08.2021 09:43:54.674,637.10
09.08.2021 09:43:55.664,637.10
09.08.2021 09:43:56.684,637.11
09.08.2021 09:43:57.673,637.11
09.08.2021 09:43:58.664,637.11
09.08.2021 09:43:59.683,637.12
09.08.2021 09:44:00.670,637.12
09.08.2021 09:44:01.664,637.12
09.08.2021 09:44:02.684,637.12
09.08.2021 09:44:03.674,637.12
09.08.2021 09:44:04.664,637.13
09.08.2021 09:44:05.684,637.13
09.08.2021 09:44:06.673,637.13
09.08.2021 09:44:07.661,637.14
09.08.2021 09:44:08.682,637.14
09.08.2021 09:44:09.673,637.14
09.08.2021 09:44:10.665,637.14
09.08.2021 09:44:11.684,637.15
09.08.2021 09:44:12.673,637.15
09.08.2021 09:44:13.665,637.15
09.08.2021 09:44:14.684,637.15
09.08.2021 09:44:15.673,637.16
09.08.2021 09:44:16.664,637.16
09.08.2021 09:44:17.685,637.16
09.08.2021 09:44:18.675,637.17
09.08.2021 09:44:19.660,637.17
09.08.2021 09:44:20.687,637.17
09.08.2021 09:44:21.674,637.18
09.08.2021 09:44:22.662,637.18
09.08.2021 09:44:23.684,637.19
09.08.2021 09:44:24.671,637.19
09.08.2021 09:44:25.664,637.19
09.08.2021 09:44:26.684,637.20
09.08.2021 09:44:27.674,637.20
09.08.2021 09:44:28.663,637.20
09.08.2021 09:44:29.683,637.21
09.08.2021 09:44:30.672,637.21
09.08.2021 09:44:31.661,637.21
09.08.2021 09:44:32.681,637.21
09.08.2021 09:44:33.673,637.22
09.08.2021 09:44:34.664,637.22
09.08.2021 09:44:35.686,637.22
09.08.2021 09:44:36.674,637.22
09.08.2021 09:44:37.668,637.23
09.08.2021 09:44:38.683,637.23
09.08.2021 09:44:39.674,637.23
09.08.2021 09:44:40.663,637.23
