date, power
09.08.2021 09:39:11.663,0.72
09.08.2021 09:39:11.933,0.72
09.08.2021 09:39:12.601,0.72
09.08.2021 09:39:13.623,0.72
09.08.2021 09:39:14.597,1.08
09.08.2021 09:39:15.598,1.08
09.08.2021 09:39:16.819,1.08
09.08.2021 09:39:17.601,1.08
09.08.2021 09:39:18.596,1.08
09.08.2021 09:39:19.620,1.08
09.08.2021 09:39:20.614,1.08
09.08.2021 09:39:21.590,1.08
09.08.2021 09:39:22.619,1.08
09.08.2021 09:39:23.610,1.08
09.08.2021 09:39:24.597,1.08
09.08.2021 09:39:25.614,1.08
09.08.2021 09:39:26.609,1.08
09.08.2021 09:39:27.602,1.08
09.08.2021 09:39:28.623,1.08
09.08.2021 09:39:30.289,0.72
09.08.2021 09:39:30.603,0.72
09.08.2021 09:39:30.829,10.40
09.08.2021 09:39:31.616,10.40
09.08.2021 09:39:32.636,165.90
09.08.2021 09:39:33.693,165.90
09.08.2021 09:39:33.927,165.90
09.08.2021 09:39:34.711,648.11
09.08.2021 09:39:35.640,648.11
09.08.2021 09:39:35.869,97.15
09.08.2021 09:39:36.633,61.00
09.08.2021 09:39:36.859,61.00
09.08.2021 09:39:37.623,3.58
09.08.2021 09:39:37.848,3.58
09.08.2021 09:39:38.673,2.51
09.08.2021 09:39:38.900,2.51
09.08.2021 09:39:39.619,2.51
09.08.2021 09:39:40.672,2.51
09.08.2021 09:39:41.667,2.86
09.08.2021 09:39:42.662,2.86
09.08.2021 09:39:43.622,2.15
09.08.2021 09:39:43.848,2.15
09.08.2021 09:39:44.671,1.79
09.08.2021 09:39:45.633,1.79
09.08.2021 09:39:45.859,1.07
09.08.2021 09:39:46.620,1.07
09.08.2021 09:39:47.673,1.07
09.08.2021 09:39:48.633,1.07
09.08.2021 09:39:49.623,1.07
09.08.2021 09:39:50.673,1.07
09.08.2021 09:39:51.633,1.08
09.08.2021 09:39:52.623,1.08
09.08.2021 09:39:53.670,1.08
09.08.2021 09:39:53.898,0.72
09.08.2021 09:39:54.632,0.72
09.08.2021 09:39:54.861,0.72
09.08.2021 09:39:55.653,0.72
09.08.2021 09:39:55.881,1.08
09.08.2021 09:39:56.703,1.08
09.08.2021 09:39:56.934,1.08
09.08.2021 09:39:57.693,0.72
09.08.2021 09:39:57.918,1.08
09.08.2021 09:39:58.617,1.08
09.08.2021 09:39:59.703,1.08
09.08.2021 09:39:59.913,1.08
09.08.2021 09:40:00.632,1.08
09.08.2021 09:40:00.857,1.08
09.08.2021 09:40:01.623,1.08
09.08.2021 09:40:01.847,1.08
09.08.2021 09:40:02.703,1.08
09.08.2021 09:40:02.929,1.08
09.08.2021 09:40:03.663,0.72
09.08.2021 09:40:04.653,0.72
09.08.2021 09:40:04.876,0.72
09.08.2021 09:40:05.702,0.72
09.08.2021 09:40:05.928,1.08
09.08.2021 09:40:06.632,1.08
09.08.2021 09:40:07.653,1.08
09.08.2021 09:40:08.642,1.08
09.08.2021 09:40:09.633,1.08
09.08.2021 09:40:10.653,1.08
09.08.2021 09:40:11.643,1.08
09.08.2021 09:40:11.874,1.08
09.08.2021 09:40:12.663,0.36
09.08.2021 09:40:12.887,0.72
